OBJECTID,lat,long,monthave,date,site,name,month,day,year,dateorig,doy
67,39.0561,-95.1907,0.67168951,2013-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2013,5/15/2013 0:00,135
68,39.0561,-95.1907,0.662044227,2013-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2013,6/15/2013 0:00,166
69,39.0561,-95.1907,0.653857291,2013-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2013,7/15/2013 0:00,196
70,39.0561,-95.1907,0.631951213,2013-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2013,8/15/2013 0:00,227
71,39.0561,-95.1907,0.447961718,2013-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2013,9/15/2013 0:00,258
72,39.0561,-95.1907,0.268998563,2013-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2013,10/15/2013 0:00,288
73,39.0561,-95.1907,0.12773867,2013-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2013,11/15/2013 0:00,319
74,39.0561,-95.1907,0.068026803,2013-12-15T00:00:00.000Z,US-KFS,Kansas Field Station,12,15,2013,12/15/2013 0:00,349
75,39.0561,-95.1907,0.015395559,2014-1-15T00:00:00.000Z,US-KFS,Kansas Field Station,1,15,2014,1/15/2014 0:00,15
76,39.0561,-95.1907,0.029471904,2014-2-15T00:00:00.000Z,US-KFS,Kansas Field Station,2,15,2014,2/15/2014 0:00,46
77,39.0561,-95.1907,0.086543776,2014-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3,15,2014,3/15/2014 0:00,74
78,39.0561,-95.1907,0.194545299,2014-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2014,4/15/2014 0:00,105
79,39.0561,-95.1907,0.451604396,2014-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2014,5/15/2014 0:00,135
80,39.0561,-95.1907,0.869071782,2014-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2014,6/15/2014 0:00,166
81,39.0561,-95.1907,0.912702799,2014-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2014,7/15/2014 0:00,196
82,39.0561,-95.1907,0.431868702,2014-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2014,8/15/2014 0:00,227
83,39.0561,-95.1907,0.317251503,2014-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2014,9/15/2014 0:00,258
